a,неопределенныйартикль
abandon,отказываться/покидать/прекращать
abandoned,заброшенный!
abate,уменьшить
abbey,Аббатство
abbreviation,сокращение
ABC,алфавит/азбука/букварь/начатки/основы
abide,ждать/терпеть
ability,способность(-yнеотсловаcapable)
able,способный(-e)
aboard,накорабле/наборту/ввагоне
abode,местопребывание/жилище(неlodge)
abominable,отвратительный/противный
about,о
above,над/выше/наверху
abroad,заграницей
abrupt,резкий/внезапный/крутой/обрывистый
abruptly,внезапно/резко/грубо!
absence,отсутствие
absent,отсутствующий
absolute,совершенный/чистый
absolutely,абсолютно/совершенно
absorb,поглощать/всасывать/впитывать
absorbed,увлечённыйчем-либо!
absorption,Поглощение
abstract,отвлеченный/абстрактный
absurd,нелепый
absurdity,нелепость
abundance,богатство/изобилие
abundant,обильный
acacia,акация
accent,подчеркивать/произносить
accept,принимать
accepted,принятый
access,доступ/подход/доступность
accessible,доступный
accident,несчастныйслучай
accidental,случайный/нечаянный
accidentally,случайно/нечаянно
acclaim,провозглашать
accommodate,согласовывать/улаживать/примирять
accommodation,удобство/согласование
accompany,сопровождать
accompanying,сопровождающий
accomplice,сообщник
accomplish,выполнять
accomplished,Выполненный
accord,согласие/гармония
accordance,согласованность/согласие/соответствие
according,согласно-ing
accordingly,согласно
account,счет/оценка/причина
accounts,Счета
accuracy,точность/аккуратность
accurate,точный/правильный
accusation,обвинение
accuse,обвинять
accused,Обвиняемый
accustom,приучать
accustomed,Приученный
ache,больa-
achieve,достигать/успешновыполнятьa-
achievement,выполнение/достижение
acid,кислый/кислота(неsour)
acknowledge,признавать/вознаграждать
acknowledged,Подтвержденный
acorn,желудь
acquaintance,знакомство/знакомый
acquire,приобретать
acquired,приобретённый!
acquisition,приобретение
acquit,оправдывать
across,через
act,акт/дело/действовать
acted,Действовал
acting,временноисполняющийобязанности/игра
action,действие/поступок
active,активный
actively,активно/деятельно
activity,деятельность/активность
actor,актер
actress,актриса
acts,Действия
actual,текущий/современный
actually,фактически/внастоящеевремя
acute,острый/проницательный
adapt,приспособить/переделать
adapted,Приспособленный
add,добавлять/прибавлять
addition,прибавление/сложение
additional,дополнительный
additions,Дополнения
address,адрес/обращение
adept,знаток/сторонник
adequate,достаточный/соответствующий
adhere,прилипать/приставать(to)/приклеиваться/хвататься
adjoining,Смежный-ing
adjust,регулировать/приспосабливать
adjustment,регулирование*d-
administration,администрация
administrator,администратор
admirable,замечательный(неwonderful)
admiral,адмирал
admiration,восхищение
admire,восхищаться
admired,восхищался(отadmire)
admiring,Восхищающийся-ing
admission,допуск/вход/прием
